Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist
Perfect,Alanis Morissette & Glenn Ballard,188133,6145404,0.99,Rock,Jagged Little Pill,Alanis Morissette
Hand In My Pocket,Alanis Morissette & Glenn Ballard,221570,7224246,0.99,Rock,Jagged Little Pill,Alanis Morissette
Right Through You,Alanis Morissette & Glenn Ballard,176117,5793082,0.99,Rock,Jagged Little Pill,Alanis Morissette
Forgiven,Alanis Morissette & Glenn Ballard,300355,9753256,0.99,Rock,Jagged Little Pill,Alanis Morissette
You Learn,Alanis Morissette & Glenn Ballard,239699,7824837,0.99,Rock,Jagged Little Pill,Alanis Morissette
Head Over Feet,Alanis Morissette & Glenn Ballard,267493,8758008,0.99,Rock,Jagged Little Pill,Alanis Morissette
Mary Jane,Alanis Morissette & Glenn Ballard,280607,9163588,0.99,Rock,Jagged Little Pill,Alanis Morissette
Ironic,Alanis Morissette & Glenn Ballard,229825,7598866,0.99,Rock,Jagged Little Pill,Alanis Morissette
Not The Doctor,Alanis Morissette & Glenn Ballard,227631,7604601,0.99,Rock,Jagged Little Pill,Alanis Morissette
Wake Up,Alanis Morissette & Glenn Ballard,293485,9703359,0.99,Rock,Jagged Little Pill,Alanis Morissette
You Oughta Know (Alternate),Alanis Morissette & Glenn Ballard,491885,16008629,0.99,Rock,Jagged Little Pill,Alanis Morissette
We Die Young,Jerry Cantrell,152084,4925362,0.99,Rock,Facelift,Alice In Chains
Man In The Box,"Jerry Cantrell, Layne Staley",286641,9310272,0.99,Rock,Facelift,Alice In Chains
Sea Of Sorrow,Jerry Cantrell,349831,11316328,0.99,Rock,Facelift,Alice In Chains
Bleed The Freak,Jerry Cantrell,241946,7847716,0.99,Rock,Facelift,Alice In Chains
I Can't Remember,"Jerry Cantrell, Layne Staley",222955,7302550,0.99,Rock,Facelift,Alice In Chains
"Love, Hate, Love","Jerry Cantrell, Layne Staley",387134,12575396,0.99,Rock,Facelift,Alice In Chains
It Ain't Like That,"Jerry Cantrell, Michael Starr, Sean Kinney",277577,8993793,0.99,Rock,Facelift,Alice In Chains
Sunshine,Jerry Cantrell,284969,9216057,0.99,Rock,Facelift,Alice In Chains
Put You Down,Jerry Cantrell,196231,6420530,0.99,Rock,Facelift,Alice In Chains
Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,0.99,Rock,Facelift,Alice In Chains
I Know Somethin (Bout You),Jerry Cantrell,261955,8497788,0.99,Rock,Facelift,Alice In Chains
Real Thing,"Jerry Cantrell, Layne Staley",243879,7937731,0.99,Rock,Facelift,Alice In Chains
Desafinado,,185338,5990473,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Garota De Ipanema,,285048,9348428,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Samba De Uma Nota Só (One Note Samba),,137273,4535401,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Por Causa De Você,,169900,5536496,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Ligia,,251977,8226934,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Fotografia,,129227,4198774,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Dindi (Dindi),,253178,8149148,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Se Todos Fossem Iguais A Você (Instrumental),,134948,4393377,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Falando De Amor,,219663,7121735,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Angela,,169508,5574957,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Corcovado (Quiet Nights Of Quiet Stars),,205662,6687994,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Outra Vez,,126511,4110053,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
O Boto (Bôto),,366837,12089673,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
"Canta, Canta Mais",,271856,8719426,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
Enter Sandman,Apocalyptica,221701,7286305,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica
Master Of Puppets,Apocalyptica,436453,14375310,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica
Harvester Of Sorrow,Apocalyptica,374543,12372536,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica
The Unforgiven,Apocalyptica,322925,10422447,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica
Sad But True,Apocalyptica,288208,9405526,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica
Creeping Death,Apocalyptica,308035,10110980,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica
Wherever I May Roam,Apocalyptica,369345,12033110,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica
Welcome Home (Sanitarium),Apocalyptica,350197,11406431,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica
Cochise,Audioslave/Chris Cornell,222380,5339931,0.99,Rock,Audioslave,Audioslave
Show Me How to Live,Audioslave/Chris Cornell,277890,6672176,0.99,Rock,Audioslave,Audioslave
Gasoline,Audioslave/Chris Cornell,279457,6709793,0.99,Rock,Audioslave,Audioslave
What You Are,Audioslave/Chris Cornell,249391,5988186,0.99,Rock,Audioslave,Audioslave
Like a Stone,Audioslave/Chris Cornell,294034,7059624,0.99,Rock,Audioslave,Audioslave
Set It Off,Audioslave/Chris Cornell,263262,6321091,0.99,Rock,Audioslave,Audioslave
Shadow on the Sun,Audioslave/Chris Cornell,343457,8245793,0.99,Rock,Audioslave,Audioslave
I am the Highway,Audioslave/Chris Cornell,334942,8041411,0.99,Rock,Audioslave,Audioslave
Exploder,Audioslave/Chris Cornell,206053,4948095,0.99,Rock,Audioslave,Audioslave
Hypnotize,Audioslave/Chris Cornell,206628,4961887,0.99,Rock,Audioslave,Audioslave
Bring'em Back Alive,Audioslave/Chris Cornell,329534,7911634,0.99,Rock,Audioslave,Audioslave
Light My Way,Audioslave/Chris Cornell,303595,7289084,0.99,Rock,Audioslave,Audioslave
Getaway Car,Audioslave/Chris Cornell,299598,7193162,0.99,Rock,Audioslave,Audioslave
The Last Remaining Light,Audioslave/Chris Cornell,317492,7622615,0.99,Rock,Audioslave,Audioslave
Your Time Has Come,"Cornell, Commerford, Morello, Wilk",255529,8273592,0.99,Alternative & Punk,Out Of Exile,Audioslave
Out Of Exile,"Cornell, Commerford, Morello, Wilk",291291,9506571,0.99,Alternative & Punk,Out Of Exile,Audioslave
Be Yourself,"Cornell, Commerford, Morello, Wilk",279484,9106160,0.99,Alternative & Punk,Out Of Exile,Audioslave
Doesn't Remind Me,"Cornell, Commerford, Morello, Wilk",255869,8357387,0.99,Alternative & Punk,Out Of Exile,Audioslave
Drown Me Slowly,"Cornell, Commerford, Morello, Wilk",233691,7609178,0.99,Alternative & Punk,Out Of Exile,Audioslave
Heaven's Dead,"Cornell, Commerford, Morello, Wilk",276688,9006158,0.99,Alternative & Punk,Out Of Exile,Audioslave
The Worm,"Cornell, Commerford, Morello, Wilk",237714,7710800,0.99,Alternative & Punk,Out Of Exile,Audioslave
Man Or Animal,"Cornell, Commerford, Morello, Wilk",233195,7542942,0.99,Alternative & Punk,Out Of Exile,Audioslave
Yesterday To Tomorrow,"Cornell, Commerford, Morello, Wilk",273763,8944205,0.99,Alternative & Punk,Out Of Exile,Audioslave
Dandelion,"Cornell, Commerford, Morello, Wilk",278125,9003592,0.99,Alternative & Punk,Out Of Exile,Audioslave
#1 Zero,"Cornell, Commerford, Morello, Wilk",299102,9731988,0.99,Alternative & Punk,Out Of Exile,Audioslave
The Curse,"Cornell, Commerford, Morello, Wilk",309786,10029406,0.99,Alternative & Punk,Out Of Exile,Audioslave
Money,"Berry Gordy, Jr./Janie Bradford",147591,2365897,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Long Tall Sally,"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell",106396,1707084,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Bad Boy,Larry Williams,116088,1862126,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Twist And Shout,Bert Russell/Phil Medley,161123,2582553,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Please Mr. Postman,Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett,137639,2206986,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
C'Mon Everybody,Eddie Cochran/Jerry Capehart,140199,2247846,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Rock 'N' Roll Music,Chuck Berry,141923,2276788,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Slow Down,Larry Williams,163265,2616981,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Roadrunner,Bo Diddley,143595,2301989,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Carol,Chuck Berry,143830,2306019,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Good Golly Miss Molly,Little Richard,106266,1704918,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
20 Flight Rock,Ned Fairchild,107807,1299960,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat
Quadrant,Billy Cobham,261851,8538199,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham
Snoopy's search-Red baron,Billy Cobham,456071,15075616,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham
"Spanish moss-""A sound portrait""-Spanish moss",Billy Cobham,248084,8217867,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham
Moon germs,Billy Cobham,294060,9714812,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham
Stratus,Billy Cobham,582086,19115680,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham
The pleasant pheasant,Billy Cobham,318066,10630578,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham
Solo-Panhandler,Billy Cobham,246151,8230661,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham
Do what cha wanna,George Duke,274155,9018565,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham
Intro/ Low Down,,323683,10642901,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
13 Years Of Grief,,246987,8137421,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Stronger Than Death,,300747,9869647,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
All For You,,235833,7726948,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Super Terrorizer,,319373,10513905,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Phoney Smile Fake Hellos,,273606,9011701,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Lost My Better Half,,284081,9355309,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Bored To Tears,,247327,8130090,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
A.N.D.R.O.T.A.Z.,,266266,8574746,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Born To Booze,,282122,9257358,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
World Of Trouble,,359157,11820932,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
No More Tears,,555075,18041629,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
The Begining... At Last,,365662,11965109,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Heart Of Gold,,194873,6417460,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
Snowblind,,420022,13842549,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
Like A Bird,,276532,9115657,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
Blood In The Wall,,284368,9359475,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
The Beginning...At Last,,271960,8975814,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
Black Sabbath,,382066,12440200,0.99,Metal,Black Sabbath,Black Sabbath
The Wizard,,264829,8646737,0.99,Metal,Black Sabbath,Black Sabbath
Behind The Wall Of Sleep,,217573,7169049,0.99,Metal,Black Sabbath,Black Sabbath
N.I.B.,,368770,12029390,0.99,Metal,Black Sabbath,Black Sabbath
Evil Woman,,204930,6655170,0.99,Metal,Black Sabbath,Black Sabbath
Sleeping Village,,644571,21128525,0.99,Metal,Black Sabbath,Black Sabbath
Warning,,212062,6893363,0.99,Metal,Black Sabbath,Black Sabbath
Wheels Of Confusion / The Straightener,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",494524,16065830,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Tomorrow's Dream,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",192496,6252071,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Changes,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",286275,9175517,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
FX,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",103157,3331776,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Supernaut,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",285779,9245971,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Snowblind,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",331676,10813386,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Cornucopia,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",234814,7653880,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Laguna Sunrise,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",173087,5671374,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
St. Vitus Dance,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",149655,4884969,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Under The Sun/Every Day Comes and Goes,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",350458,11360486,0.99,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
Smoked Pork,,47333,1549074,0.99,Alternative & Punk,Body Count,Body Count
Body Count's In The House,,204251,6715413,0.99,Alternative & Punk,Body Count,Body Count
Now Sports,,4884,161266,0.99,Alternative & Punk,Body Count,Body Count
Body Count,,317936,10489139,0.99,Alternative & Punk,Body Count,Body Count
A Statistic,,6373,211997,0.99,Alternative & Punk,Body Count,Body Count
Bowels Of The Devil,,223216,7324125,0.99,Alternative & Punk,Body Count,Body Count
The Real Problem,,11650,387360,0.99,Alternative & Punk,Body Count,Body Count
KKK Bitch,,173008,5709631,0.99,Alternative & Punk,Body Count,Body Count
D Note,,95738,3067064,0.99,Alternative & Punk,Body Count,Body Count
Voodoo,,300721,9875962,0.99,Alternative & Punk,Body Count,Body Count
The Winner Loses,,392254,12843821,0.99,Alternative & Punk,Body Count,Body Count
There Goes The Neighborhood,,350171,11443471,0.99,Alternative & Punk,Body Count,Body Count
Oprah,,6635,224313,0.99,Alternative & Punk,Body Count,Body Count
Evil Dick,,239020,7828873,0.99,Alternative & Punk,Body Count,Body Count
Body Count Anthem,,166426,5463690,0.99,Alternative & Punk,Body Count,Body Count
Momma's Gotta Die Tonight,,371539,12122946,0.99,Alternative & Punk,Body Count,Body Count
Freedom Of Speech,,281234,9337917,0.99,Alternative & Punk,Body Count,Body Count
King In Crimson,Roy Z,283167,9218499,0.99,Metal,Chemical Wedding,Bruce Dickinson
Chemical Wedding,Roy Z,246177,8022764,0.99,Metal,Chemical Wedding,Bruce Dickinson
The Tower,Roy Z,285257,9435693,0.99,Metal,Chemical Wedding,Bruce Dickinson
Killing Floor,Adrian Smith,269557,8854240,0.99,Metal,Chemical Wedding,Bruce Dickinson
Book Of Thel,Eddie Casillas/Roy Z,494393,16034404,0.99,Metal,Chemical Wedding,Bruce Dickinson
Gates Of Urizen,Roy Z,265351,8627004,0.99,Metal,Chemical Wedding,Bruce Dickinson
Jerusalem,Roy Z,402390,13194463,0.99,Metal,Chemical Wedding,Bruce Dickinson
Trupets Of Jericho,Roy Z,359131,11820908,0.99,Metal,Chemical Wedding,Bruce Dickinson
Machine Men,Adrian Smith,341655,11138147,0.99,Metal,Chemical Wedding,Bruce Dickinson
The Alchemist,Roy Z,509413,16545657,0.99,Metal,Chemical Wedding,Bruce Dickinson
Realword,Roy Z,237531,7802095,0.99,Metal,Chemical Wedding,Bruce Dickinson
First Time I Met The Blues,Eurreal Montgomery,140434,4604995,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Let Me Love You Baby,Willie Dixon,175386,5716994,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Stone Crazy,Buddy Guy,433397,14184984,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Pretty Baby,Willie Dixon,237662,7848282,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
When My Left Eye Jumps,Al Perkins/Willie Dixon,235311,7685363,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Leave My Girl Alone,Buddy Guy,204721,6859518,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
She Suits Me To A Tee,Buddy Guy,136803,4456321,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Keep It To Myself (Aka Keep It To Yourself),Sonny Boy Williamson [I],166060,5487056,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
My Time After Awhile,Robert Geddins/Ron Badger/Sheldon Feinberg,182491,6022698,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Too Many Ways (Alternate),Willie Dixon,135053,4459946,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Talkin' 'Bout Women Obviously,Amos Blakemore/Buddy Guy,589531,19161377,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Jorge Da Capadócia,Jorge Ben,177397,5842196,0.99,Latin,Prenda Minha,Caetano Veloso
Prenda Minha,Tradicional,99369,3225364,0.99,Latin,Prenda Minha,Caetano Veloso
Meditação,Tom Jobim - Newton Mendoça,148793,4865597,0.99,Latin,Prenda Minha,Caetano Veloso
Terra,Caetano Veloso,482429,15889054,0.99,Latin,Prenda Minha,Caetano Veloso
Eclipse Oculto,Caetano Veloso,221936,7382703,0.99,Latin,Prenda Minha,Caetano Veloso
"Texto ""Verdade Tropical""",Caetano Veloso,84088,2752161,0.99,Latin,Prenda Minha,Caetano Veloso
Bem Devagar,Gilberto Gil,133172,4333651,0.99,Latin,Prenda Minha,Caetano Veloso
Drão,Gilberto Gil,156264,5065932,0.99,Latin,Prenda Minha,Caetano Veloso
Saudosismo,Caetano Veloso,144326,4726981,0.99,Latin,Prenda Minha,Caetano Veloso
Carolina,Chico Buarque,181812,5924159,0.99,Latin,Prenda Minha,Caetano Veloso
Sozinho,Peninha,190589,6253200,0.99,Latin,Prenda Minha,Caetano Veloso
Esse Cara,Caetano Veloso,223111,7217126,0.99,Latin,Prenda Minha,Caetano Veloso
Mel,Caetano Veloso - Waly Salomão,294765,9854062,0.99,Latin,Prenda Minha,Caetano Veloso
Linha Do Equador,Caetano Veloso - Djavan,299337,10003747,0.99,Latin,Prenda Minha,Caetano Veloso
Odara,Caetano Veloso,141270,4704104,0.99,Latin,Prenda Minha,Caetano Veloso
A Luz De Tieta,Caetano Veloso,251742,8507446,0.99,Latin,Prenda Minha,Caetano Veloso
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto,307252,10364247,0.99,Latin,Prenda Minha,Caetano Veloso
Vida Boa,Fausto Nilo - Armandinho,281730,9411272,0.99,Latin,Prenda Minha,Caetano Veloso
Sozinho (Hitmakers Classic Mix),,436636,14462072,0.99,Latin,Sozinho Remix Ao Vivo,Caetano Veloso
Sozinho (Hitmakers Classic Radio Edit),,195004,6455134,0.99,Latin,Sozinho Remix Ao Vivo,Caetano Veloso
Sozinho (Caêdrum 'n' Bass),,328071,10975007,0.99,Latin,Sozinho Remix Ao Vivo,Caetano Veloso
Carolina,,163056,5375395,0.99,Latin,Minha Historia,Chico Buarque
Essa Moça Ta Diferente,,167235,5568574,0.99,Latin,Minha Historia,Chico Buarque
Vai Passar,,369763,12359161,0.99,Latin,Minha Historia,Chico Buarque
Samba De Orly,,162429,5431854,0.99,Latin,Minha Historia,Chico Buarque
"Bye, Bye Brasil",,283402,9499590,0.99,Latin,Minha Historia,Chico Buarque
Atras Da Porta,,189675,6132843,0.99,Latin,Minha Historia,Chico Buarque
Tatuagem,,172120,5645703,0.99,Latin,Minha Historia,Chico Buarque
O Que Será (À Flor Da Terra),,167288,5574848,0.99,Latin,Minha Historia,Chico Buarque
Morena De Angola,,186801,6373932,0.99,Latin,Minha Historia,Chico Buarque
Apesar De Você,,234501,7886937,0.99,Latin,Minha Historia,Chico Buarque
A Banda,,132493,4349539,0.99,Latin,Minha Historia,Chico Buarque
Minha Historia,,182256,6029673,0.99,Latin,Minha Historia,Chico Buarque
Com Açúcar E Com Afeto,,175386,5846442,0.99,Latin,Minha Historia,Chico Buarque
Brejo Da Cruz,,214099,7270749,0.99,Latin,Minha Historia,Chico Buarque
Meu Caro Amigo,,260257,8778172,0.99,Latin,Minha Historia,Chico Buarque
Geni E O Zepelim,,317570,10342226,0.99,Latin,Minha Historia,Chico Buarque
Trocando Em Miúdos,,169717,5461468,0.99,Latin,Minha Historia,Chico Buarque
Vai Trabalhar Vagabundo,,139154,4693941,0.99,Latin,Minha Historia,Chico Buarque
Gota D'água,,153208,5074189,0.99,Latin,Minha Historia,Chico Buarque
Construção / Deus Lhe Pague,,383059,12675305,0.99,Latin,Minha Historia,Chico Buarque
Meia-Lua Inteira,,222093,7466288,0.99,Latin,Minha Historia,Chico Buarque
Voce e Linda,,242938,8050268,0.99,Latin,Minha Historia,Chico Buarque
Um Indio,,195944,6453213,0.99,Latin,Minha Historia,Chico Buarque
Podres Poderes,,259761,8622495,0.99,Latin,Minha Historia,Chico Buarque
Voce Nao Entende Nada - Cotidiano,,421982,13885612,0.99,Latin,Minha Historia,Chico Buarque
O Estrangeiro,,374700,12472890,0.99,Latin,Minha Historia,Chico Buarque
Menino Do Rio,,147670,4862277,0.99,Latin,Minha Historia,Chico Buarque
Qualquer Coisa,,193410,6372433,0.99,Latin,Minha Historia,Chico Buarque
Sampa,,185051,6151831,0.99,Latin,Minha Historia,Chico Buarque
Queixa,,299676,9953962,0.99,Latin,Minha Historia,Chico Buarque
O Leaozinho,,184398,6098150,0.99,Latin,Minha Historia,Chico Buarque
Fora Da Ordem,,354011,11746781,0.99,Latin,Minha Historia,Chico Buarque
Terra,,401319,13224055,0.99,Latin,Minha Historia,Chico Buarque
"Alegria, Alegria",,169221,5497025,0.99,Latin,Minha Historia,Chico Buarque
